"","Outer_volume..cm3","Mean_temperature","Mean_rainfall","Range_midpoint_latitude","Insularity","Loc_rock","HBW_names"
"870",489.07,-1.37,32.31,61.74,0,0,"Passerella_iliaca"
"871",268.53,8.74,41.31,43.53,0,0,"Passerina_amoena"
"875",155.35,19.53,81.97,32.5,0,0,"Passerina_ciris"
"876",160.02,19.53,81.97,32.5,0,0,"Passerina_ciris"
"877",182.66,13.31,80.03,39.99,0,0,"Passerina_cyanea"
"879",127.25,21.01,34.74,25.39,0,0,"Passerina_versicolor"
"881",37.58,25.29,115.62,21.57,0,0,"Pericrocotus_cinnamomeus"
"884",929.36,0.9,44.11,58.24,0,0,"Perisoreus_canadensis"
"885",2944.87,-0.02,34.89,60.99,0,0,"Perisoreus_infaustus"
"887",878.99,9.34,226.34,-41.98,1,0,"Petroica_australis"
"888",90.73,23.04,28.33,-27.24,0,0,"Petroica_goodenovii"
"889",338.03,10.72,167.08,-44.07,1,0,"Petroica_macrocephala"
"891",325.74,12.41,88.61,-36.74,0,0,"Petroica_phoenicea"
"897",458.84,17.72,37.82,32.42,0,0,"Peucaea_cassinii"
"906",212.62,19.23,17.47,29.94,0,0,"Phainopepla_nitens"
"909",500.56,7.58,66.57,49.38,0,0,"Pheucticus_ludovicianus"
"910",484.1,7.58,66.57,49.38,0,0,"Pheucticus_ludovicianus"
"912",527.24,11.38,42.31,40.4,0,0,"Pheucticus_melanocephalus"
"916",709.65,20.95,57.37,-27.96,0,0,"Philemon_corniculatus"
"920",605.94,8.01,39.8,40.39,0,1,"Phoenicurus_ochruros"
"921",726.3,8.01,39.8,40.39,0,1,"Phoenicurus_ochruros"
"925",327.73,19.2,53.24,-28.95,0,0,"Phylidonyris_niger"
"926",332.78,15.45,60.37,-34.6,0,0,"Phylidonyris_novaehollandiae"
"927",743.52,13.43,79.66,-36.01,0,0,"Phylidonyris_pyrrhopterus"
"940",2237.43,-0.46,36.45,61.41,0,0,"Pinicola_enucleator"
"942",843.99,8.99,31.06,40.15,0,0,"Pipilo_chlorurus"
"943",628.94,8.99,31.06,40.15,0,0,"Pipilo_chlorurus"
"945",210.91,13.55,97.7,39.85,0,0,"Pipilo_erythrophthalmus"
"946",541.47,13.55,97.7,39.85,0,0,"Pipilo_erythrophthalmus"
"951",315.73,5.8,43.15,50.66,0,0,"Piranga_ludoviciana"
"952",417.45,5.8,43.15,50.66,0,0,"Piranga_ludoviciana"
"953",515.43,11.31,90.7,42.2,0,0,"Piranga_olivacea"
"954",361.68,11.31,90.7,42.2,0,0,"Piranga_olivacea"
"955",379.91,18.09,81.9,33.75,0,0,"Piranga_rubra"
"956",157.67,18.09,81.9,33.75,0,0,"Piranga_rubra"
"961",87.49,21.11,43.41,-29.26,0,0,"Plectorhyncha_lanceolata"
"969",146.12,27.03,80.93,-15.2,0,0,"Poecilodryas_cerviniventris"
"970",99.37,24.73,111.01,-16.15,0,0,"Poecilodryas_superciliosa"
"973",114.28,16.43,71.24,34.63,0,0,"Polioptila_caerulea"
"974",132.18,16.43,71.24,34.63,0,0,"Polioptila_caerulea"
"975",109.65,19.21,5.93,27.78,0,0,"Polioptila_californica"
"978",55.57,19.9,19.47,29.24,0,0,"Polioptila_melanura"
"979",80.5,25.24,164.71,-2.47,0,0,"Polioptila_plumbea"
"983",132.6,7.71,55.73,46.98,0,0,"Pooecetes_gramineus"
"985",130.27,23.86,79.17,8.58,0,0,"Prionops_plumatus"
"987",238.38,21.93,74.99,-14.27,0,0,"Prionops_retzii"
"992",5371.14,12.5,119.62,-38.97,1,0,"Prosthemadera_novaeseelandiae"
"994",703.09,4.12,39.82,46.05,0,1,"Prunella_collaris"
"996",554.28,6.56,53.85,59.34,0,0,"Prunella_modularis"
"1000",389.75,20.64,126.01,20.75,1,0,"Pseudonestor_xanthophrys"
"1007",632.3,16.1,34.23,-34.03,0,0,"Psophodes_nigrogularis"
"1009",354.78,19.89,261.19,9.75,0,0,"Ptiliogonys_caudatus"
"1011",67.05,26.71,67.05,-17.04,0,0,"Ptilotula_flavescens"
"1012",83.61,18.35,65.45,-31.42,0,0,"Ptilotula_fusca"
"1015",77.78,23.42,29.86,-26.76,0,0,"Ptilotula_penicillata"
"1019",111.47,20.65,19.53,-32.17,0,0,"Purnella_albifrons"
"1020",174.21,24.38,76.29,1.72,0,0,"Pycnonotus_barbatus"
"1022",184.93,24.79,103.87,23.5,0,0,"Pycnonotus_cafer"
"1024",312.26,17.57,26.32,-32.76,0,0,"Pycnonotus_capensis"
"1027",211.34,23.61,131.24,20.51,0,0,"Pycnonotus_jocosus"
"1028",321.07,23.61,131.24,20.51,0,0,"Pycnonotus_jocosus"
"1029",244.32,23.61,131.24,20.51,0,0,"Pycnonotus_jocosus"
"1030",325.31,26.78,14.49,28.54,0,1,"Pycnonotus_leucotis"
"1031",306.94,22.27,29.54,-24.08,0,0,"Pycnonotus_nigricans"
"1036",67.96,20.79,86.89,-27.68,0,0,"Pyrocephalus_rubinus"
"1037",13518.98,6.65,47.78,41.37,0,1,"Pyrrhocorax_graculus"
"1039",268.55,2.89,41.82,58.38,0,0,"Pyrrhula_pyrrhula"
"1040",594.83,2.89,41.82,58.38,0,0,"Pyrrhula_pyrrhula"
"1042",3540.47,20.57,106.81,27.94,0,0,"Quiscalus_major"
"1043",2651.66,20.57,106.81,27.94,0,0,"Quiscalus_major"
"1047",2456.58,9.23,69.81,46.61,0,1,"Quiscalus_quiscula"
"1048",221.74,15.65,53.56,-33.96,0,0,"Quoyornis_georgianus"
"1059",242.95,1.94,46.19,56.42,0,0,"Regulus_calendula"
"1061",193.47,10.6,63.9,48.66,0,0,"Regulus_ignicapilla"
"1062",177.89,10.6,63.9,48.66,0,0,"Regulus_ignicapilla"
"1063",291.97,6.36,51.92,57.35,0,0,"Regulus_regulus"
"1064",302.26,6.36,51.92,57.35,0,0,"Regulus_regulus"
"1065",191.58,4.74,57.97,51.56,0,0,"Regulus_satrapa"
"1066",91.98,19.59,135.81,22.43,0,0,"Rhipidura_albicollis"
"1070",95.05,10.87,150.77,-42.16,1,0,"Rhipidura_fuliginosa"
"1072",91.13,23.77,51.21,-26.08,0,0,"Rhipidura_leucophrys"
"1074",62.96,19.38,83.91,-32.11,0,0,"Rhipidura_rufifrons"
"1080",329.61,13.44,19.9,41.32,0,0,"Rhodospiza_obsoleta"
"1082",264.74,13.44,19.9,41.32,0,0,"Rhodospiza_obsoleta"
"1100",319.64,19.48,5.8,28.5,1,0,"Saxicola_dacotiae"
"1102",320.05,6.49,48.28,58.17,0,0,"Saxicola_rubetra"
"1104",238.88,6.27,45.78,57.14,0,0,"Saxicola_torquatus"
"1105",612.1,19.23,74.05,25.05,0,1,"Sayornis_nigricans"
"1106",459.6,8.17,67.61,49.89,0,1,"Sayornis_phoebe"
"1107",319.63,8.17,67.61,49.89,0,1,"Sayornis_phoebe"
"1108",204.5,15.98,43.36,28.75,1,0,"Serinus_canaria"
"1109",250.46,15.98,43.36,28.75,1,0,"Serinus_canaria"
"1110",209.53,15.98,43.36,28.75,1,0,"Serinus_canaria"
"1111",162.82,6.43,43.44,38.09,0,1,"Serinus_pusillus"
"1112",204.54,6.43,43.44,38.09,0,1,"Serinus_pusillus"
"1113",133.01,11.73,56.05,46.28,0,0,"Serinus_serinus"
"1114",152.21,11.73,56.05,46.28,0,0,"Serinus_serinus"
"1120",221.11,7.02,84.76,44.86,0,0,"Setophaga_caerulescens"
"1121",184.3,7.02,84.76,44.86,0,0,"Setophaga_caerulescens"
"1122",300.62,2.97,54.49,53.5,0,0,"Setophaga_castanea"
"1123",76.96,12.36,95.5,40.84,0,0,"Setophaga_cerulea"
"1124",33.73,12.36,95.5,40.84,0,0,"Setophaga_cerulea"
"1125",121.04,20.55,75.93,30.07,0,0,"Setophaga_chrysoparia"
"1127",153.39,0.85,44.55,58.4,0,0,"Setophaga_coronata"
"1128",77.55,16.44,109.76,36.62,0,0,"Setophaga_discolor"
"1129",75.48,17.17,111.32,35.54,0,0,"Setophaga_dominica"
"1136",304.64,3.74,56.12,53.12,0,0,"Setophaga_magnolia"
"1140",128.41,5.88,71.1,47.79,0,0,"Setophaga_pensylvanica"
"1141",195.15,4.64,50.82,55.49,0,0,"Setophaga_petechia"
"1142",133.57,4.64,50.82,55.49,0,0,"Setophaga_petechia"
"1144",132.88,4.64,50.82,55.49,0,0,"Setophaga_petechia"
"1145",84.43,13.69,98.31,34.65,0,0,"Setophaga_pinus"
"1146",135.35,13.69,98.31,34.65,0,0,"Setophaga_pinus"
"1148",109.71,13.69,98.31,34.65,0,0,"Setophaga_pinus"
"1149",134.46,7.04,68.38,49.52,0,0,"Setophaga_ruticilla"
"1153",343.1,-0.96,37.23,61.76,0,0,"Setophaga_striata"
"1154",317.61,3.44,50.91,53.76,0,0,"Setophaga_tigrina"
"1156",284.76,3.44,50.91,53.76,0,0,"Setophaga_tigrina"
"1157",219.22,3.44,50.91,53.76,0,0,"Setophaga_tigrina"
"1159",283.96,2.93,63.74,54.37,0,0,"Setophaga_townsendi"
"1160",189.99,2.93,63.74,54.37,0,0,"Setophaga_townsendi"
"1162",159.7,4.89,68.4,49.81,0,0,"Setophaga_virens"
"1176",137.27,15.22,30.2,34.37,0,0,"Spinus_lawrencei"
"1177",166.08,4.8,52.46,52.83,0,0,"Spinus_pinus"
"1178",123.72,16.33,39.87,33.27,0,0,"Spinus_psaltria"
"1179",115.45,16.33,39.87,33.27,0,0,"Spinus_psaltria"
"1180",183.88,4.46,46.62,58.74,0,0,"Spinus_spinus"
"1181",202.26,4.46,46.62,58.74,0,0,"Spinus_spinus"
